,SourceName,TargetName,Weight,SourceID,TargetID,diceSim
190,TRA24_C5_Round_2_control_F10_TRE_tRNA_Pro_F.ab1,TRA8_C9_round1control_E4_TRE_tRNA_Pro_F.ab1,4,44,10,0.095238095
191,TRA24_C5_Round_2_control_F10_TRE_tRNA_Pro_F.ab1,TRA8_G4_Round_2_control_C4_TRE_tRNA_Pro_F.ab1,5,44,253,0
192,TRA24_C8_Round_2_control_A11_TRE_tRNA_Pro_F.ab1,TRA7_G9_round1control_F3_TRE_tRNA_Pro_F.ab1,1,45,197,0
193,TRA24_C9_Round_3_control_E7_TRE_tRNA_Pro_F.ab1,TRA2_G2_TRE_tRNA_Pro.ab1,2,78,3,0
194,TRA24_C9_Round_3_control_E7_TRE_tRNA_Pro_F.ab1,TRA24_C6_Round_2_control_G10_TRE_tRNA_Pro_F.ab1,2,78,228,0
195,TRA24_E1_Round_3_control_G7_TRE_tRNA_Pro_F.ab1,TRA3_I7_TRE_tRNA_Pro.ab1,10,171,177,0
196,TRA24_E2_Round_3_control_H7_TRE_tRNA_Pro_F.ab1,TRA12_G1_TRE_tRNA_Pro.ab1,1,46,70,0
197,TRA24_E3_Round_3_control_A8_TRE_tRNA_Pro_F.ab1,P046471_TRE_tRNA_Pro.ab1,1,47,210,0
198,TRA24_E3_Round_3_control_A8_TRE_tRNA_Pro_F.ab1,P048616_TRE_tRNA_Pro.ab1,1,47,211,0
199,TRA24_E3_Round_3_control_A8_TRE_tRNA_Pro_F.ab1,P048619_TRE_tRNA_Pro.ab1,1,47,212,0
200,TRA24_E3_Round_3_control_A8_TRE_tRNA_Pro_F.ab1,TRA20_A10_Round_2_control_E8_TRE_tRNA_Pro_F.ab1,1,47,143,0
201,TRA24_E3_Round_3_control_A8_TRE_tRNA_Pro_F.ab1,TRA20_E4_Round_3_control_H6_TRE_tRNA_Pro_F.ab1,2,47,122,0
202,TRA24_E3_Round_3_control_A8_TRE_tRNA_Pro_F.ab1,TRA24_C4_Round_2_control_E10_TRE_tRNA_Pro_F.ab1,7,47,101,0
203,TRA24_E3_Round_3_control_A8_TRE_tRNA_Pro_F.ab1,TRA3_G1_Round_3_control_G2_TRE_tRNA_Pro_F.ab1,1,47,213,0
204,TRA24_E3_Round_3_control_A8_TRE_tRNA_Pro_F.ab1,TRA9_A1_round1control_A5_TRE_tRNA_Pro_F.ab1,2,47,229,0
205,TRA24_E4_Round_3_control_B8_TRE_tRNA_Pro_F.ab1,TRA24_C5_Round_2_control_F10_TRE_tRNA_Pro_F.ab1,3,102,44,0
206,TRA26_E10_TRE_tRNA_Pro.ab1,TRA20_C5_Round_2_control_B9_TRE_tRNA_Pro_F.ab1,12,181,180,0
207,TRA26_E8_TRE_tRNA_Pro.ab1,TRA8_C9_round1control_E4_TRE_tRNA_Pro_F.ab1,6,150,10,0
208,TRA26_E9_TRE_tRNA_Pro.ab1,TRA20_A9_Round_2_control_D8_TRE_tRNA_Pro_F.ab1,5,126,142,0.5
209,TRA26_E9_TRE_tRNA_Pro.ab1,TRA3_I7_TRE_tRNA_Pro.ab1,4,126,177,0.333333333
210,TRA26_G1_TRE_tRNA_Pro.ab1,TRA11_C8_Round_2_control_D7_TRE_tRNA_Pro_F.ab1,13,48,183,0.222222222
211,TRA26_G1_TRE_tRNA_Pro.ab1,TRA22_A4_round1control_D8_TRE_tRNA_Pro_F.ab1,2,48,184,0.4
212,TRA26_G1_TRE_tRNA_Pro.ab1,TRA9_C8_Round_3_control_G4_TRE_tRNA_Pro_F.ab1,1,48,157,0
213,TRA26_G10_TRE_tRNA_Pro.ab1,TRA12_E10_TRE_tRNA_Pro.ab1,7,160,140,0
214,TRA26_G10_TRE_tRNA_Pro.ab1,TRA2_I5_Round_2_control_G1_TRE_tRNA_Pro_F.ab1,18,160,257,0
215,TRA26_G2_TRE_tRNA_Pro.ab1,TRA7_A5_Round_2_control_G2_TRE_tRNA_Pro_F.ab1,3,103,6,0
216,TRA27_A4_TRE_tRNA_Pro.ab1,TRA15_A5_Round_2_control_B8_TRE_tRNA_Pro_F.ab1,3,104,187,0
217,TRA27_A5_TRE_tRNA_Pro.ab1,TRA3_I4_Round_2_control_D2_TRE_tRNA_Pro_F.ab1,1,49,112,0
218,TRA29_A1_Round_2_control_B11_TRE_tRNA_Pro_F.ab1,TRA15_A7_Round_3_control_B6_TRE_tRNA_Pro_F.ab1,17,188,73,0.285714286
219,TRA29_A1_Round_2_control_B11_TRE_tRNA_Pro_F.ab1,TRA6_A1_round1control_E2_TRE_tRNA_Pro_F.ab1,17,188,169,0.333333333
220,TRA29_A2_Round_2_control_C11_TRE_tRNA_Pro_F.ab1,P046476_TRE_tRNA_Pro.ab1,8,80,214,0.266666667
221,TRA29_A2_Round_2_control_C11_TRE_tRNA_Pro_F.ab1,P046659_TRE_tRNA_Pro.ab1,8,80,234,0
222,TRA29_A2_Round_2_control_C11_TRE_tRNA_Pro_F.ab1,TRA11_A6_round1control_F6_TRE_tRNA_Pro_F.ab1,7,80,258,0
223,TRA29_A2_Round_2_control_C11_TRE_tRNA_Pro_F.ab1,TRA11_C10_Round_3_control_E5_TRE_tRNA_Pro_F.ab1,8,80,65,0.333333333
224,TRA29_A2_Round_2_control_C11_TRE_tRNA_Pro_F.ab1,TRA16_A7_TRE_tRNA_Pro.ab1,2,80,230,0
225,TRA29_A2_Round_2_control_C11_TRE_tRNA_Pro_F.ab1,TRA20_E1_Round_3_control_E6_TRE_tRNA_Pro_F.ab1,8,80,121,0.444444444
226,TRA29_A3_Round_2_control_D11_TRE_tRNA_Pro_F.ab1,TRA24_E4_Round_3_control_B8_TRE_tRNA_Pro_F.ab1,4,127,102,0
227,TRA29_A4_Round_2_control_E11_TRE_tRNA_Pro_F.ab1,TRA24_E4_Round_3_control_B8_TRE_tRNA_Pro_F.ab1,2,81,102,0
