sampling.box,position,species,tissue.storage.location,preservation.method,reference.code,genbank.accession,museum.id,sample.source,fishing.vessel,vessel.registration,observer.code,field.no,trip,shot,tissue.type,fish.length,catch.depth,landing.date,month.caught,season.caught,year.caught,date.preserved,group,group2,location.country,location.stat.area,location.fma,location.qma,location.coordinate,location.latitude,location.longitude,exact.gps.known,radius,trip.picture,dna.extracted,extraction.start.date,extraction.round,dna.quantity,260.280,260.230,nanodrop.warning,repeat.extraction,tissue.remaining,extracted.dna.remaining,control.pcr.amplified,control.pcr.round,control.pcr.start.date,control.pcr.box.name,control.pcr.tube.number,control.sequenced,control.sequencing.round,control.successfully.sequenced,coi.pcr.amplified,coi.pcr.round,coi.pcr.start.date,coi.pcr.box.name,coi.pcr.tube.number,coi.sequenced,coi.sequencing.round,coi.successfully.sequenced,coi.sequence.available,subsample1,subsample2,subsample3
tra2,c2,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,mpi,noeline,6235,smur,NA,5410,4,caudal fin,39,NA,6-08-18,august,winter,2018,06-08-2018,new zealand,,new zealand,042,FMA9,TRE7,37°44.5 S 174°34.9 E,-37.741667,174.581667,Y,5,NA,Y,01-10-2018,11,1240.90,2.168,2.382,none,N,Y,Y,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra2,c3,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,mpi,noeline,6235,smur,NA,5410,4,caudal fin,34,NA,6-08-18,august,winter,2018,06-08-2018,new zealand,,new zealand,042,FMA9,TRE7,37°44.5 S 174°34.9 E,-37.741667,174.581667,Y,5,NA,Y,04-10-2018,13,1379.30,2.108,2.166,none,Y,Y,Y,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra2,c4,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,mpi,noeline,6235,smur,NA,5410,4,caudal fin,30,NA,6-08-18,august,winter,2018,06-08-2018,new zealand,,new zealand,042,FMA9,TRE7,37°44.5 S 174°34.9 E,-37.741667,174.581667,Y,5,NA,Y,01-10-2018,11,457.40,2.209,2.247,none,N,Y,Y,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra2,c5,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,mpi,noeline,6235,smur,NA,5410,4,caudal fin,29,NA,6-08-18,august,winter,2018,06-08-2018,new zealand,,new zealand,042,FMA9,TRE7,37°44.5 S 174°34.9 E,-37.741667,174.581667,Y,5,NA,Y,01-10-2018,11,739.10,2.151,2.207,none,N,Y,Y,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra2,c6,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,mpi,noeline,6235,smur,NA,5410,7,caudal fin,30,NA,11-08-18,august,winter,2018,11-08-2018,new zealand,,new zealand,042,FMA9,TRE7,37°39.8 S 174°37.7 E,-37.663333,174.628333,Y,5,NA,Y,01-10-2018,11,2025.70,2.101,2.303,none,N,Y,Y,Y,2,3-04-19,pcr round 2 control region,4,Y,2,Y,N,NA,NA,NA,NA,N,NA,NA,,,,Y
tra2,c7,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,mpi,noeline,6235,smur,NA,5410,7,caudal fin,31,NA,11-08-18,august,winter,2018,11-08-2018,new zealand,,new zealand,042,FMA9,TRE7,37°39.8 S 174°37.7 E,-37.663333,174.628333,Y,5,NA,Y,01-10-2018,11,1238.70,2.108,2.404,none,N,Y,Y,Y,4,6-05-19,pcr round 4 control region,4,Y,4,Y,N,NA,NA,NA,NA,N,NA,NA,,,,
tra2,c8,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,mpi,noeline,6235,smur,NA,5410,7,caudal fin,29,NA,11-08-18,august,winter,2018,11-08-2018,new zealand,,new zealand,042,FMA9,TRE7,37°39.8 S 174°37.7 E,-37.663333,174.628333,Y,5,NA,Y,01-10-2018,11,992.75,2.146,2.302,none,N,Y,Y,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra2,c9,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,mpi,noeline,6235,smur,NA,5410,7,caudal fin,27,NA,11-08-18,august,winter,2018,11-08-2018,new zealand,,new zealand,042,FMA9,TRE7,37°39.8 S 174°37.7 E,-37.663333,174.628333,Y,5,NA,Y,04-10-2018,13,1985.60,2.094,2.261,none,Y,Y,Y,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra2,c10,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,mpi,noeline,6235,smur,NA,5410,7,caudal fin,26,NA,11-08-18,august,winter,2018,11-08-2018,new zealand,,new zealand,042,FMA9,TRE7,37°39.8 S 174°37.7 E,-37.663333,174.628333,Y,5,NA,Y,01-10-2018,11,1349.50,2.157,2.397,none,N,Y,Y,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra2,e1,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,mpi,noeline,6235,smur,NA,5410,9,caudal fin,23,NA,12-08-18,august,winter,2018,12-08-2018,new zealand,,new zealand,042,FMA9,TRE7,37°30.6 S 174°35.3 E,-37.510000,174.588333,Y,5,NA,Y,01-10-2018,11,878.05,2.218,2.311,none,N,Y,Y,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
