"","season.caught","location.country","location.coordinate","location.latitude","location.longitude","radius","landing.date","subsample1","subsample2","subsample3","n"
"75","spring","new zealand",NA,-38.47,178.35,40,"5-09-18","","","Y",2
"76","spring","new zealand",NA,-38.47,178.35,40,"5-09-18","","Y","",2
"77","spring","new zealand",NA,-38.47,178.35,40,"5-09-18","Y","","",1
"78","spring","new zealand",NA,-38.47,178.35,40,"5-09-18","Y","","Y",2
"79","spring","new zealand",NA,-38.47,178.35,40,"5-09-18","Y","Y","Y",1
"80","spring","new zealand",NA,-37.510557,178.35854,30,"4-11-18","","","",18
"81","spring","new zealand",NA,-37.510557,178.35854,30,"4-11-18","","","Y",1
"82","spring","new zealand",NA,-37.510557,178.35854,30,"4-11-18","","Y","",3
"83","spring","new zealand",NA,-37.510557,178.35854,30,"4-11-18","","Y","Y",1
"84","spring","new zealand",NA,-37.510557,178.35854,30,"4-11-18","Y","","",2
"85","spring","new zealand",NA,-37.510557,178.35854,30,"4-11-18","Y","","Y",1
"86","spring","new zealand",NA,-37.510557,178.35854,30,"4-11-18","Y","Y","",2
"87","spring","new zealand",NA,-36.56,176,40,"4-09-18","","","",13
"88","spring","new zealand",NA,-36.56,176,40,"4-09-18","","","Y",5
"89","spring","new zealand",NA,-36.56,176,40,"4-09-18","","Y","",2
"90","spring","new zealand",NA,-36.56,176,40,"4-09-18","","Y","Y",1
"91","spring","new zealand",NA,-36.56,176,40,"4-09-18","Y","","",7
"92","spring","new zealand",NA,-34.56,173.16,70,"3-09-18","","","",10
"93","spring","new zealand",NA,-34.56,173.16,70,"3-09-18","","","Y",1
"94","spring","new zealand",NA,-34.56,173.16,70,"3-09-18","","Y","",1
"95","spring","new zealand",NA,-34.56,173.16,70,"3-09-18","","Y","Y",1
"96","spring","new zealand",NA,-34.56,173.16,70,"3-09-18","Y","","",2
"97","spring","new zealand",NA,-34.56,173.16,70,"3-09-18","Y","","Y",1
"98","spring","new zealand",NA,-34.56,173.16,70,"3-09-18","Y","Y","",1
"99","spring","new zealand",NA,NA,NA,NA,"5-11-18","","","Y",1
"100","spring","new zealand",NA,NA,NA,NA,"5-11-18","Y","Y","",1
"101","summer","australia","34°20.98 S 115°10.57 E",-34.349667,115.176167,5,"19-02-12","","","",18
